Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector,Alter,Proxy,Purchase Price
4,4,Abiding Grace,mh2,Near Mint,English,,,25:03.7,1,FALSE,FALSE,
1,1,Abstruse Archaic,cmm,Near Mint,English,,,18:57.7,712,FALSE,FALSE,
1,1,Access Tunnel,ltc,Near Mint,English,,,17:40.5,294,FALSE,FALSE,
1,1,Acererak the Archlich,sld,Near Mint,English,foil,,14:48.9,1784,FALSE,FALSE,
2,2,Acolyte of Affliction,thb,Near Mint,English,foil,,35:26.0,206,FALSE,FALSE,
1,1,Aegis Angel,w16,Near Mint,English,,,27:38.4,1,FALSE,FALSE,
2,2,Agate Assault,blb,Near Mint,English,,,14:48.9,122,FALSE,FALSE,
3,3,Agate-Blade Assassin,blb,Near Mint,English,,,51:51.2,82,FALSE,FALSE,
1,1,Agent of the Shadow Thieves,clb,Near Mint,English,foil,,14:48.9,108,FALSE,FALSE,
2,2,Aggressive Urge,rix,Near Mint,English,foil,,31:41.4,122,FALSE,FALSE,
1,1,Agonizing Remorse,thb,Near Mint,English,foil,,31:21.2,83,FALSE,FALSE,
1,1,Ahn-Crop Invader,war,Near Mint,English,foil,,32:30.4,113,FALSE,FALSE,
1,1,"Ajani, Strength of the Pride",plst,Near Mint,English,,,35:14.5,M20-2,FALSE,FALSE,
1,1,"Ajani, Strength of the Pride",m20,Near Mint,English,,,12:47.8,2,FALSE,FALSE,
1,1,"Akroma, Angel of Fury",sld,Near Mint,English,foil,,32:51.8,1287,FALSE,FALSE,
1,1,"Akroma, Angel of Wrath",sld,Near Mint,English,foil,,30:42.3,489,FALSE,FALSE,
1,1,Akroma's Will,lcc,Near Mint,English,,,20:11.5,125,FALSE,FALSE,
1,1,Alania's Pathmaker,blb,Near Mint,English,,,33:23.6,123,FALSE,FALSE,
1,1,"Alela, Artful Provocateur",brc,Near Mint,English,,,34:38.4,119,FALSE,FALSE,
1,1,"Alirios, Enraptured",thb,Near Mint,English,foil,,32:00.7,42,FALSE,FALSE,
1,1,All Is Dust,cmm,Near Mint,English,,,18:57.7,800,FALSE,FALSE,
6,6,Ambush Viper,cmr,Near Mint,English,foil,,31:41.4,213,FALSE,FALSE,
2,2,Amorphous Axe,cmr,Near Mint,English,foil,,35:26.0,295,FALSE,FALSE,
2,2,Amrou Scout,tsr,Near Mint,English,foil,,12:55.0,1,FALSE,FALSE,
